yemek_adi,kategori,fiyat,kalori,resim,aciklama
Kabak Çorbası,Çorbalar,150,350,corba/kabak1.png,"Taze kabaklarla hazırlanan bu çorba, hafif ve sağlıklı bir başlangıç arayanlar için ideal. Kremsi dokusu ve özel baharat karışımıyla fark yaratıyor. İşin ustası şeflerimiz, bu lezzeti sizin için özenle hazırladı."
Tarator Çorbası,Çorbalar,140,300,corba/tarator2.jpeg,"Yoğurt, ceviz ve sarımsağın mükemmel uyumuyla hazırlanan bu soğuk çorba, ferahlatıcı ve hafif bir tat sunuyor. Geleneksel lezzetleri modern bir dokunuşla yorumlayan şeflerimizin özel tarifiyle hazırlanmıştır."
Deniz Mahsülleri Çorbası,Çorbalar,220,450,corba/deniz3.jpg,"Deniz mahsullerinin taptaze aromalarını taşıyan bu çorba, zengin içeriğiyle unutulmaz bir deneyim sunuyor. İşin ustası şeflerimiz tarafından özenle hazırlanan bu lezzet, her lokmada deniz esintisi hissettiriyor."
Domates Çorbası,Çorbalar,130,250,corba/domates4.png,"Mevsiminde toplanmış domateslerle hazırlanan bu klasik çorba, yanında sunulan çıtır ekmeklerle mükemmel bir uyum yakalıyor. Şeflerimiz, bu geleneksel lezzeti sizler için özel yöntemlerle pişirdi."
Brokoli Çorbası,Çorbalar,140,280,corba/brokoli5.png,"Vitamin dolu brokolilerle hazırlanan bu çorba, sağlıklı ve hafif bir başlangıç arayanlar için ideal. İşin ustası şeflerimiz, bu lezzeti en taze haliyle sunuyor."
Lebeniye Çorbası,Çorbalar,150,320,corba/lebeniye6.png,"Anadolu mutfağının nefis tatlarından biri olan lebeniye çorbası, nohut ve minik köftelerin yoğurtlu bir harmanı olarak sunuluyor. Şeflerimizin özenle hazırladığı bu tarif, her kaşıkta geleneksel bir tat sunuyor."
Şehriye Çorbası,Çorbalar,120,270,corba/sehriye7.jpg,"Sade ve doyurucu bir başlangıç arayanlar için şehriyenin lezzetini zengin baharatlarla birleştirdik. İşin ustası şeflerimizin hazırladığı bu çorba, her yaş grubunun favorisi olacak."
Sebzeli Tavuk Çorbası,Çorbalar,160,350,corba/tavuk8.jpg,"Taze sebzeler ve özenle pişirilen tavuk parçalarının uyumuyla hazırlanan bu çorba, hem besleyici hem de lezzet dolu bir seçenek sunuyor. Şeflerimizin titizlikle hazırladığı bu çorba, sıcak bir başlangıç için ideal."
Beyti Kebabı,Ana Yemekler,300,700,anayemek/beyti1.png,"Tereyağında kızartılmış yufka içinde kıymalı harç, domates sosu ve yoğurtla mükemmel bir uyum yakalıyor. Geleneksel tatları masanıza taşıyan şeflerimiz, bu özel kebabı özenle hazırladı."
Somon Izgara,Ana Yemekler,350,600,anayemek/somon2.png,"Taze somon fileto, zeytinyağı ve limonla harmanlanarak ızgarada kusursuz bir şekilde pişirildi. Sağlıklı bir ana yemek isteyenler için şeflerimizin özenle hazırladığı bu tabak ideal bir seçim."
Deniz Tarağı Izgara,Ana Yemekler,400,500,anayemek/deniztarak3.png,"Baharatlı marine edilmiş taze deniz tarakları, ızgaranın hafif isli aromasıyla tamamlandı. Şeflerimizin zarif dokunuşlarıyla hazırlanan bu yemek, deniz mahsulleri sevenler için eşsiz bir deneyim sunuyor."
Maş Fasulyeli Enginar,Ana Yemekler,250,400,anayemek/enginar4.jpeg,"Zeytinyağlı enginar ve maş fasulyesinin hafif ve besleyici birleşimiyle hazırlanan bu yemek, doğallığı masanıza taşıyor. Şeflerimizin ustalıkla hazırladığı bu tabak, sağlıklı seçimlerin başında geliyor."
Piyaz Salatalı İnegöl Köfte,Ana Yemekler,270,600,anayemek/inegol5.png,"Klasik İnegöl köftesi, yanında taze piyaz salatasıyla lezzetli bir uyum sunuyor. Şeflerimizin özenle hazırladığı bu tabak, hem doyurucu hem de hafif bir ana yemek seçeneği."
Karnabahar Steak,Ana Yemekler,200,350,anayemek/karnabahar6.png,"Izgarada mükemmel bir şekilde pişirilen karnabahar, hafif baharatlarla lezzetlendirilerek sunuluyor. Şeflerimizin yaratıcılığıyla hazırlanan bu tabak, bitkisel bir ziyafet arayanlar için ideal."
Çökertme Kebabı,Ana Yemekler,300,750,anayemek/çokertme7.png,"Altın sarısı kızarmış patates üzerine yerleştirilen lokum kıvamında etler, yoğurt ve tereyağlı sosla taçlandırıldı. İşin ustası şeflerimizin hazırladığı bu kebap, geleneksel lezzetlerin en özel hallerinden biri."
Tavuk Stroganoff,Ana Yemekler,280,650,anayemek/straganoff8.jpg,"Kremalı sos, mantar ve jülyen doğranmış tavuk dilimlerinin birleşimiyle hazırlanan bu klasik tarif, hem doyurucu hem de lezzetli bir seçenek. Şeflerimizin özenle hazırladığı bu yemek, unutulmaz bir tat sunuyor."
Pancarlı Spaghetti,Makarnalar,230,550,makarna/pancarli1.png,"Doğal pancar rengiyle dikkat çeken bu spagetti, hafif kremalı sosla bir araya geliyor. Şeflerimizin yaratıcılığıyla hazırlanan bu tabak, hem göze hem damağa hitap ediyor."
Spagetti Bolonez,Makarnalar,240,650,makarna/bolonez2.png,"Zengin domatesli kıyma sosuyla hazırlanan bu klasik İtalyan tarifi, doyurucu ve lezzetli bir deneyim sunuyor. İşin ustası şeflerimiz, her detayında lezzeti mükemmelleştirdi."
Fettucine Alfredo,Makarnalar,250,700,makarna/fettucine3.png,"Kremalı Alfredo sosu ve parmesan peyniriyle hazırlanan bu fettuccine, klasik bir İtalyan dokunuşu sunuyor. Şeflerimizin özenle hazırladığı bu yemek, özel bir lezzet arayanların tercihi."
Köri Soslu Makarna,Makarnalar,230,600,makarna/kori4.jpg,"Baharatlı köri sosu ve taze makarnanın birleşimiyle hazırlanan bu tarif, damaklarda unutulmaz bir tat bırakıyor. Şeflerimizin titizlikle pişirdiği bu yemek, farklı bir makarna deneyimi sunuyor."
Ravioli,Makarnalar,260,500,makarna/ravioli5.png,"Ev yapımı ravioli, içindeki özel peynir dolgusu ve ince baharat karışımıyla hazırlanmıştır. Şeflerimizin ellerinden çıkan bu klasik lezzet, her lokmada mutluluk sunuyor."
Penne Arabiata,Makarnalar,220,450,makarna/penne6.png,"Domatesin baharatlı haliyle harmanlanan penne, acı sevenler için özel olarak hazırlandı. Şeflerimizin özenle hazırladığı bu makarna, tatlı ve baharatlı lezzetlerin dengesiyle dikkat çekiyor."
Pesto Soslu Makarna,Makarnalar,240,480,makarna/pesto7.png,"Fesleğen, parmesan ve çam fıstığıyla hazırlanan taze pesto sos, makarnanın her lokmasına eşsiz bir aroma katıyor. Şeflerimizin özenli dokunuşlarıyla hazırlanan bu tabak, doğallığın lezzetini sunuyor."
Balkabaklı Makarna,Makarnalar,230,520,makarna/balkabak8.png,"Mevsiminde toplanan balkabaklarıyla hazırlanan bu tarif, hafif tatlı lezzetiyle farklı bir seçenek sunuyor. Şeflerimizin zarif dokunuşlarıyla hazırlanan bu makarna, unutulmaz bir tat sunuyor."
Yunan Salatası,Salatalar,180,250,salata/yunan1.png,"Taze sebzeler, zeytin, beyaz peynir ve zeytinyağı ile hazırlanan bu salata, Akdeniz esintilerini sofralarınıza taşıyor. Şeflerimizin özenle seçtiği malzemelerle, ferahlatıcı bir lezzet sunuyor."
Narlı Roka Salatası,Salatalar,180,240,salata/narli2.png,"Taze roka yaprakları, nar taneleri ve cevizle harmanlanarak hafif ve besleyici bir lezzet sunuyor. Şeflerimizin özenle hazırladığı bu tabak, sofranıza renk katıyor."
Ayvalı Pancar Salatası,Salatalar,200,280,salata/ayva3.png,"Fırınlanmış pancar ve taze ayvanın birleşimi, özel soslarla lezzetlendirilerek sunuluyor. Şeflerimizin hazırladığı bu tabak, farklı ve sağlıklı bir alternatif."
İncirli Salata,Salatalar,210,270,salata/incir4.png,"Taze incir, roka ve cevizle hazırlanan bu salata, hem tatlı hem de tuzlu lezzetlerin mükemmel bir uyumunu sunuyor. Şeflerimizin özel dokunuşlarıyla hazırlanan bu lezzet, sofralarınıza zarafet katıyor."
Sezar Salatası,Salatalar,190,300,salata/sezar5.png,"Romain marul yaprakları, özel Sezar sosu ve parmesan peyniriyle klasik bir lezzet sunuyor. Şeflerimizin özenle hazırladığı bu salata, doyurucu ve hafif bir tercih."
Enginar Salatası,Salatalar,190,270,salata/enginar6.jpg,"Mevsiminde toplanan taze enginarlar, zeytinyağı ve limon sosuyla hafif bir lezzete dönüştü. Şeflerimizin ustalığıyla hazırlanan bu tabak, hem sağlıklı hem de hafif bir seçenek sunuyor."
Coleslaw Salatası,Salatalar,150,200,salata/coleslaw7.png,"Rendelenmiş lahana ve havuç, kremalı özel sosuyla buluşarak klasik bir tat sunuyor. Şeflerimizin titizlikle hazırladığı bu salata, ana yemekler için mükemmel bir eşlikçi."
Ton Balıklı Salata,Salatalar,200,300,salata/ton8.jpg,"Taze yeşillikler ve zengin ton balığı parçalarının uyumuyla hazırlanan bu salata, protein dolu bir öğün arayanlar için ideal. Şeflerimizin ustalığıyla lezzetlendirilmiş özel bir seçim."
Dört Peynirli Pizza,Pizzalar,240,800,pizza/dort1.png,"Mozzarella, parmesan, rokfor ve cheddar peynirlerinin eşsiz birleşimiyle hazırlanan bu pizza, yoğun ve zengin bir tat sunuyor. Şeflerimizin odun fırınında özenle pişirdiği bu klasik, peynir sevenlerin favorisi."
Deniz Mahsüllü Pizza,Pizzalar,270,750,pizza/deniz2.png,"Taze deniz ürünleri ve aromatik baharatlarla hazırlanan bu pizza, her lokmada denizin ferahlığını hissettiriyor. Şeflerimizin ustalığıyla şekillenen bu lezzet, deniz mahsulü tutkunları için eşsiz bir seçim."
Mantarlı Pizza,Pizzalar,240,700,pizza/mantar3.png,"Taze mantarlarla hazırlanan bu pizza, kremalı sos ve eriyen peynirle tamamlanarak yoğun bir tat sunuyor. Şeflerimizin özel dokunuşlarıyla hazırlanan bu lezzet, klasik tatları sevenler için ideal."
İncirli Pizza,Pizzalar,250,680,pizza/incir4.png,"Taze incir ve peynirin tatlı-tuzlu uyumuyla hazırlanan bu pizza, farklı tatlar arayanlar için özel olarak tasarlandı. Şeflerimizin titizlikle hazırladığı bu tarif, her lokmada sizi şaşırtacak."
Tavuklu Pizza,Pizzalar,250,720,pizza/tavuk5.png,"Izgara tavuk ve zengin baharatlarla hazırlanan bu pizza, doyurucu bir seçenek sunuyor. Şeflerimizin özenle hazırladığı bu tarif, her damak zevkine hitap ediyor."
Jambonlu Pizza,Pizzalar,260,700,pizza/jambon6.png,"Özel domates sosu ve taze mozarella peyniriyle buluşan jambon, bu pizzaya klasik bir dokunuş katıyor. Şeflerimizin özenle hazırladığı bu tarif, hem doyurucu hem de lezzetli bir seçenek sunuyor."
Vejeteryan Pizza,Pizzalar,230,650,pizza/vejeteryan7.png,"Renkli sebzelerle hazırlanan bu pizza, taptaze malzemeleriyle hafif ve sağlıklı bir lezzet sunuyor. Şeflerimizin ustalığıyla şekillenen bu tabak, bitkisel bir şölen arayanlar için ideal."
Napoliten Pizza,Pizzalar,220,680,pizza/napoli8.png,"Klasik domates sosu, mozzarella ve taze fesleğenin mükemmel birleşimiyle hazırlanan bu pizza, geleneksel İtalyan mutfağını masanıza taşıyor. Şeflerimizin ustalığıyla şekillenen bu tat, her zaman favori."
Tiramisu,Tatlılar,150,450,tatli/tiramisu1.png,"İtalyan mutfağının vazgeçilmezi tiramisu, yumuşacık kreması ve yoğun kahve aromasıyla sunuluyor. Şeflerimizin özel tarifle hazırladığı bu tatlı, yemek sonrasını taçlandırıyor."
Künefe,Tatlılar,170,550,tatli/kunefe2.png,"Tereyağında kızartılmış ince kadayıf ve erimiş peynirin birleşimi, damaklarda eşsiz bir lezzet bırakıyor. Şeflerimizin ustalıkla hazırladığı bu tatlı, geleneksel lezzetlerin en güzeli."
Çilekli Panna Cotta,Tatlılar,160,400,tatli/cilek3.png,"İpeksi panna cotta, taze çilek sosuyla buluşarak hafif ve ferahlatıcı bir tat sunuyor. Şeflerimizin özenle hazırladığı bu lezzet, özel bir tatlı deneyimi arayanlar için."
Balkabağı Mousse,Tatlılar,150,420,tatli/kabak4.png,"Kremamsı dokusu ve hafif tatlı lezzetiyle balkabağı mousse, hem göze hem damağa hitap ediyor. Şeflerimizin özel dokunuşlarıyla hazırlanan bu tatlı, sofralarınıza zarafet katıyor."
